x	y	z	Phi	Fx	Fy	Fz	Rho
439.88468	0	0	-0.0031459946	7.1518828e-06	0	0	1.9971803e-18
494.64164	0	0	-0.0027977313	5.6560901e-06	0	0	9.2686367e-19
556.21464	0	0	-0.0024880216	4.4731403e-06	0	0	4.3014516e-19
625.45212	0	0	-0.0022125975	3.537602e-06	0	0	1.9962502e-19
703.30814	0	0	-0.0019676632	2.7977288e-06	0	0	9.2643688e-20
790.85553	0	0	-0.0017498435	2.2125976e-06	0	0	4.2994883e-20
889.30064	0	0	-0.0015561366	1.7498444e-06	0	0	1.9953534e-20
1000	0	0	-0.0013838732	1.383874e-06	0	0	9.2602088e-21

0	0.001	0	-3.7944291	-9.8950223e-17	4.7514922	0	948.58264
0	0.002124478	0	-3.7890918	-9.8691529e-17	4.7406575	0	444.80663
0	0.0033889288	0	-3.7831051	-9.8407937e-17	4.7287763	0	277.86862
0	0.0048107758	0	-3.7763908	-9.8089257e-17	4.7155877	0	194.92528
0	0.0064096115	0	-3.7688634	-9.7732953e-17	4.7006578	0	145.62678
0	0.0082074671	0	-3.7604272	-9.7334882e-17	4.6840182	0	113.13746
0	0.010229116	0	-3.7509766	-9.689024e-17	4.6654536	0	90.251388
0	0.012502416	0	-3.7403942	-9.6394022e-17	4.6447026	0	73.35776
0	0.015058692	0	-3.7285507	-9.5840805e-17	4.6215504	0	60.462612
0	0.017933167	0	-3.7153033	-9.5224676e-17	4.5957668	0	50.355699
0	0.021165452	0	-3.700495	-9.4539265e-17	4.5670168	0	42.275922
0	0.024800085	0	-3.6839537	-9.3777749e-17	4.5351094	0	35.71194
0	0.02888715	0	-3.665491	-9.2932877e-17	4.4996303	0	30.306929
0	0.033482964	0	-3.6449023	-9.1997022e-17	4.46028	0	25.815111
0	0.038650857	0	-3.6219647	-9.0962256e-17	4.4167858	0	22.044959
0	0.044462038	0	-3.5964383	-8.9820427e-17	4.3686185	0	18.857254
