x	y	z	Phi	Fx	Fy	Fz	Rho
439.88468	0	0	-0.0026983581	6.1344314e-06	0	0	2.9658409e-17
494.64164	0	0	-0.0023996413	4.8513922e-06	0	0	1.3304786e-17
556.21464	0	0	-0.0021339954	3.836715e-06	0	0	5.9685499e-18
625.45212	0	0	-0.0018977584	3.0342654e-06	0	0	2.6775068e-18
703.30814	0	0	-0.0016876743	2.3996522e-06	0	0	1.2011384e-18
790.85553	0	0	-0.0015008476	1.8977702e-06	0	0	5.3883529e-19
889.30064	0	0	-0.0013347032	1.5008573e-06	0	0	2.4172392e-19
1000	0	0	-0.0011869515	1.1869586e-06	0	0	1.0843851e-19

0	0.001	0	-1.1221385	-1.755529e-17	0.8930941	0	126.51914
0	0.002124478	0	-1.1211353	-1.7510122e-17	0.89119048	0	59.333342
0	0.0033889288	0	-1.1200098	-1.7461362e-17	0.88904382	0	37.063852
0	0.0048107758	0	-1.1187474	-1.7406489e-17	0.88667951	0	26.00102
0	0.0064096115	0	-1.1173319	-1.7345019e-17	0.88401392	0	19.424445
0	0.0082074671	0	-1.1157452	-1.727638e-17	0.88102889	0	15.090655
0	0.010229116	0	-1.1139675	-1.7199728e-17	0.87769978	0	12.038
0	0.012502416	0	-1.1119764	-1.711416e-17	0.87398073	0	9.7846902
0	0.015058692	0	-1.1097476	-1.7018735e-17	0.86982862	0	8.0643812
0	0.017933167	0	-1.107254	-1.6912433e-17	0.865204	0	6.7163849
0	0.021165452	0	-1.1044657	-1.6794153e-17	0.86004873	0	5.6384816
0	0.024800085	0	-1.1013502	-1.6662707e-17	0.85431395	0	4.762902
0	0.02888715	0	-1.0978716	-1.6516834e-17	0.84794843	0	4.0422837
0	0.033482964	0	-1.0939909	-1.6355201e-17	0.84088165	0	3.4427751
0	0.038650857	0	-1.0896656	-1.6176414e-17	0.83305227	0	2.9399105
0	0.044462038	0	-1.0848498	-1.5979036e-17	0.82440046	0	2.5151167
0	0.050996583	0	-1.079494	-1.5761603e-17	0.81485272	0	2.1539044
0	0.058344535	0	-1.0735453	-1.5522634e-17	0.80433443	0	1.8454926
0	0.066607146	0	-1.0669473	-1.5260683e-17	0.79278096	0	1.5811579
0	0.07589827	0	-1.0596405	-1.4974373e-17	0.78012714	0	1.3538628
0	0.086345935	0	-1.0515626	-1.4662429e-17	0.76630021	0	1.1579343
0	0.098094103	0	-1.0426489	-1.4323719e-17	0.75124024	0	0.98882645
0	0.11130466	0	-1.0328333	-1.3957357e-17	0.73489629	0	0.84272538
0	0.12615964	0	-1.0220485	-1.356276e-17	0.71722742	0	0.71647076
0	0.14286374	0	-1.010228	-1.3139643e-17	0.6982064	0	0.60738337
0	0.16164713	0	-0.99730636	-1.2688128e-17	0.67781715	0	0.5131962
