R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
0.003363  -2.473   233.102755  2.368  1.23e-25   10.3 
0.003526  -2.453   232.235465  2.366  1.23e-25   10.3 
0.003697  -2.432   231.595222  2.365  1.23e-25   10.2 
0.003874  -2.412   230.729949  2.363  1.23e-25   10.2 
0.004062  -2.391   229.865777  2.361  1.23e-25   10.2 
0.004256  -2.371   229.002705  2.360  1.23e-25   10.2 
0.004463  -2.350   227.954951  2.358  1.23e-25   10.1 
0.004676  -2.330   227.134061  2.356  1.22e-25   10.1 
0.004902  -2.310   226.050728  2.354  1.22e-25   10.1 
0.005140  -2.289   225.009026  2.352  1.22e-25   10 
0.005386  -2.269   223.969525  2.350  1.22e-25   10 
0.005646  -2.248   222.704555  2.348  1.22e-25   9.98 
0.005919  -2.228   221.603230  2.346  1.22e-25   9.95 
0.006204  -2.207   220.278087  2.343  1.21e-25   9.91 
0.006502  -2.187   218.978968  2.340  1.21e-25   9.88 
0.006817  -2.166   217.480990  2.337  1.21e-25   9.84 
0.007143  -2.146   216.145942  2.335  1.2e-25   9.8 
0.007489  -2.126   214.635695  2.332  1.2e-25   9.77 
0.007851  -2.105   212.952228  2.328  1.19e-25   9.73 
0.008229  -2.085   211.431399  2.325  1.19e-25   9.7 
0.008624  -2.064   209.561709  2.321  1.18e-25   9.66 
0.009042  -2.044   207.898233  2.318  1.18e-25   9.62 
0.009476  -2.023   206.044041  2.314  1.17e-25   9.59 
0.009934  -2.003   204.044230  2.310  1.16e-25   9.55 
0.010412  -1.982   202.053663  2.305  1.16e-25   9.51 
0.010912  -1.962   200.093448  2.301  1.15e-25   9.48 
0.011440  -1.942   197.816762  2.296  1.14e-25   9.45 
0.011990  -1.921   195.551299  2.291  1.13e-25   9.41 
0.012570  -1.901   193.338288  2.286  1.12e-25   9.38 
0.013176  -1.880   190.813409  2.281  1.11e-25   9.35 
0.013811  -1.860   188.321247  2.275  1.1e-25   9.32 
0.014477  -1.839   185.881208  2.269  1.09e-25   9.29 
0.015174  -1.819   183.152280  2.263  1.08e-25   9.26 
0.015906  -1.798   180.494345  2.256  1.06e-25   9.24 
0.016671  -1.778   177.528521  2.249  1.05e-25   9.22 
0.017475  -1.758   174.650729  2.242  1.04e-25   9.2 
0.018318  -1.737   171.651802  2.235  1.02e-25   9.19 
0.019200  -1.717   168.549236  2.227  1e-25   9.17 
0.020125  -1.696   165.443012  2.219  9.84e-26   9.16 
0.021095  -1.676   162.211037  2.210  9.66e-26   9.16 
0.022112  -1.655   158.901538  2.201  9.46e-26   9.15 
0.023179  -1.635   155.527116  2.192  9.26e-26   9.16 
0.024295  -1.614   152.083216  2.182  9.05e-26   9.16 
0.025467  -1.594   148.581752  2.172  8.83e-26   9.17 
0.026694  -1.574   145.000694  2.161  8.61e-26   9.19 
0.027993  -1.553   141.398929  2.150  8.37e-26   9.21 
0.029319  -1.533   137.738298  2.139  8.14e-26   9.23 
0.030756  -1.512   134.029750  2.127  7.89e-26   9.26 
0.032221  -1.492   130.295210  2.115  7.65e-26   9.29 
0.033768  -1.471   126.546226  2.102  7.39e-26   9.33 
0.035398  -1.451   122.762157  2.089  7.14e-26   9.38 
0.037112  -1.430   118.961948  2.075  6.88e-26   9.42 
0.038908  -1.410   115.158927  2.061  6.62e-26   9.48 
0.040787  -1.389   111.363188  2.047  6.37e-26   9.54 
0.042749  -1.369   107.574036  2.032  6.11e-26   9.6 
0.044794  -1.349   103.789903  2.016  5.85e-26   9.67 
0.046977  -1.328   100.045646  2.000  5.6e-26   9.74 
0.049215  -1.308   96.335499  1.984  5.35e-26   9.82 
0.051592  -1.287   92.644508  1.967  5.1e-26   9.9 
0.054079  -1.267   88.995816  1.949  4.86e-26   9.99 
0.056704  -1.246   85.437014  1.932  4.62e-26   10.1 
0.059440  -1.226   81.848994  1.913  4.38e-26   10.2 
0.062286  -1.206   78.430672  1.894  4.16e-26   10.3 
0.065298  -1.185   74.981704  1.875  3.93e-26   10.4 
0.068448  -1.165   71.654586  1.855  3.72e-26   10.5 
0.071736  -1.144   68.422303  1.835  3.51e-26   10.6 
0.075191  -1.124   65.195284  1.814  3.31e-26   10.7 
0.078838  -1.103   62.161089  1.794  3.12e-26   10.9 
0.082624  -1.083   59.122585  1.772  2.94e-26   11 
0.086603  -1.062   56.236484  1.750  2.76e-26   11.1 
0.090776  -1.042   53.410759  1.728  2.59e-26   11.2 
0.095170  -1.022   50.650414  1.705  2.43e-26   11.4 
0.099757  -1.001   48.044381  1.682  2.28e-26   11.5 
0.104565  -0.981   45.491625  1.658  2.13e-26   11.6 
0.109594  -0.960   43.057381  1.634  1.99e-26   11.8 
0.114872  -0.940   40.705299  1.610  1.86e-26   11.9 
0.120427  -0.919   38.462890  1.585  1.74e-26   12.1 
0.126230  -0.899   36.291565  1.560  1.62e-26   12.2 
0.132309  -0.878   34.241210  1.535  1.51e-26   12.3 
0.138692  -0.858   32.272211  1.509  1.41e-26   12.5 
0.145352  -0.838   30.389188  1.483  1.31e-26   12.6 
0.152371  -0.817   28.597737  1.456  1.22e-26   12.8 
0.159721  -0.797   26.902349  1.430  1.14e-26   12.9 
0.167404  -0.776   25.263393  1.402  1.06e-26   13 
0.175473  -0.756   23.715354  1.375  9.84e-27   13.1 
0.183956  -0.735   22.265865  1.348  9.15e-27   13.3 
0.192799  -0.715   20.880831  1.320  8.5e-27   13.4 
0.202111  -0.694   19.578860  1.292  7.9e-27   13.5 
0.211838  -0.674   18.339459  1.263  7.34e-27   13.6 
0.222063  -0.654   17.163157  1.235  6.82e-27   13.7 
0.232757  -0.633   16.061525  1.206  6.34e-27   13.8 
0.243976  -0.613   15.028938  1.177  5.89e-27   13.9 
0.255748  -0.592   14.042065  1.147  5.47e-27   14 
0.268072  -0.572   13.122976  1.118  5.08e-27   14.1 
0.281032  -0.551   12.256583  1.088  4.72e-27   14.2 
0.294573  -0.531   11.438121  1.058  4.39e-27   14.2 
0.308666  -0.511   10.672868  1.028  4.08e-27   14.3 
0.323588  -0.490   9.959704  0.998  3.79e-27   14.3 
0.339339  -0.469   9.283653  0.968  3.53e-27   14.3 
0.355643  -0.449   8.651369  0.937  3.29e-27   14.4 
0.372776  -0.429   8.059151  0.906  3.06e-27   14.4 
0.390737  -0.408   7.505710  0.875  2.85e-27   14.4 
0.409528  -0.388   6.982070  0.844  2.65e-27   14.3 
0.429148  -0.367   6.499281  0.813  2.47e-27   14.3 
0.449873  -0.347   6.041862  0.781  2.31e-27   14.3 
0.471703  -0.326   5.618805  0.750  2.15e-27   14.2 
0.494363  -0.306   5.222403  0.718  2.01e-27   14.2 
0.518128  -0.286   4.848595  0.686  1.88e-27   14.1 
0.543274  -0.265   4.501562  0.653  1.76e-27   14 
0.569249  -0.245   4.178882  0.621  1.64e-27   13.9 
0.596883  -0.224   3.875290  0.588  1.54e-27   13.7 
0.625622  -0.204   3.591369  0.555  1.44e-27   13.6 
0.655742  -0.183   3.327547  0.522  1.35e-27   13.4 
0.687244  -0.163   3.081376  0.489  1.27e-27   13.2 
0.720405  -0.142   2.850683  0.455  1.19e-27   13 
0.755223  -0.122   2.635358  0.421  1.12e-27   12.8 
0.791423  -0.102   2.433290  0.386  1.05e-27   12.6 
0.829833  -0.081   2.246627  0.352  9.91e-28   12.4 
0.869625  -0.061   2.071325  0.316  9.33e-28   12.1 
0.911628  -0.040   1.906984  0.280  8.8e-28   11.8 
0.955565  -0.020   1.754256  0.244  8.3e-28   11.5 
1.001713  0.001   1.612431  0.207  7.83e-28   11.2 
1.049796  0.021   1.479246  0.170  7.39e-28   10.9 
1.100641  0.042   1.355530  0.132  6.99e-28   10.6 
1.153697  0.062   1.239206  0.093  6.6e-28   10.2 
1.209241  0.083   1.131205  0.054  6.25e-28   9.87 
1.267547  0.103   1.030278  0.013  5.91e-28   9.5 
1.328617  0.123   0.936099  -0.029  5.6e-28   9.11 
1.392727  0.144   0.848323  -0.071  5.31e-28   8.72 
1.459600  0.164   0.766407  -0.116  5.03e-28   8.31 
1.530065  0.185   0.690574  -0.161  4.77e-28   7.89 
1.603847  0.205   0.620304  -0.207  4.53e-28   7.47 
1.681220  0.226   0.555404  -0.255  4.29e-28   7.05 
1.762186  0.246   0.495707  -0.305  4.08e-28   6.63 
1.847021  0.266   0.441097  -0.355  3.87e-28   6.21 
1.936277  0.287   0.391378  -0.407  3.68e-28   5.8 
2.029402  0.307   0.346133  -0.461  3.5e-28   5.4 
2.127224  0.328   0.305113  -0.516  3.32e-28   5 
2.229745  0.348   0.268179  -0.572  3.16e-28   4.63 
2.337239  0.369   0.234797  -0.629  3.01e-28   4.26 
2.449983  0.389   0.204753  -0.689  2.86e-28   3.9 
2.567978  0.410   0.177738  -0.750  2.72e-28   3.56 
2.691776  0.430   0.153461  -0.814  2.59e-28   3.23 
2.821377  0.450   0.131501  -0.881  2.46e-28   2.91 
2.956781  0.471   0.111646  -0.952  2.34e-28   2.6 
3.100475  0.491   0.093782  -1.028  2.23e-28   2.29 
3.249696  0.512   0.077630  -1.110  2.13e-28   1.99 
3.407207  0.532   0.062949  -1.201  2.02e-28   1.7 
3.570244  0.553   0.049680  -1.304  1.93e-28   1.41 
3.741572  0.573   0.037666  -1.424  1.84e-28   1.12 
3.923953  0.594   0.026781  -1.572  1.75e-28   0.835 
4.111860  0.614   0.016949  -1.771  1.67e-28   0.554 
4.310821  0.635   0.008047  -2.094  1.59e-28   0.276 
4.518072  0.655   -0.000005  nan  1.51e-28   -0.00019 
