R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
0.009775  -2.010   53.378099  1.727  2.93e-26   28.2 
0.010184  -1.992   53.248601  1.726  2.93e-26   28.2 
0.010611  -1.974   53.119257  1.725  2.92e-26   28.2 
0.011056  -1.956   53.008892  1.724  2.92e-26   28.2 
0.011519  -1.939   52.861686  1.723  2.91e-26   28.1 
0.012002  -1.921   52.696545  1.722  2.91e-26   28.1 
0.012505  -1.903   52.568466  1.721  2.9e-26   28.1 
0.013028  -1.885   52.403732  1.719  2.9e-26   28.1 
0.013574  -1.867   52.239791  1.718  2.89e-26   28 
0.014142  -1.849   52.057439  1.716  2.88e-26   28 
0.014734  -1.832   51.875855  1.715  2.87e-26   28 
0.015350  -1.814   51.694477  1.713  2.87e-26   28 
0.015990  -1.796   51.513712  1.712  2.86e-26   27.9 
0.016659  -1.778   51.296673  1.710  2.85e-26   27.9 
0.017358  -1.760   51.098193  1.708  2.84e-26   27.9 
0.018087  -1.743   50.881837  1.707  2.83e-26   27.9 
0.018846  -1.725   50.665779  1.705  2.81e-26   27.9 
0.019634  -1.707   50.449720  1.703  2.8e-26   27.9 
0.020467  -1.689   50.197651  1.701  2.79e-26   27.9 
0.021315  -1.671   49.963478  1.699  2.77e-26   27.9 
0.022207  -1.654   49.711106  1.696  2.76e-26   27.9 
0.023144  -1.636   49.440181  1.694  2.74e-26   27.9 
0.024111  -1.618   49.168818  1.692  2.72e-26   28 
0.025122  -1.600   48.878359  1.689  2.71e-26   28 
0.026179  -1.582   48.604499  1.687  2.69e-26   28 
0.027264  -1.564   48.293429  1.684  2.67e-26   28.1 
0.028410  -1.547   47.980191  1.681  2.64e-26   28.1 
0.029600  -1.529   47.664264  1.678  2.62e-26   28.2 
0.030834  -1.511   47.326854  1.675  2.6e-26   28.3 
0.032128  -1.493   47.003772  1.672  2.57e-26   28.3 
0.033482  -1.475   46.657854  1.669  2.54e-26   28.4 
0.034880  -1.457   46.288228  1.665  2.52e-26   28.5 
0.036338  -1.440   45.896391  1.662  2.49e-26   28.6 
0.037870  -1.422   45.532358  1.658  2.45e-26   28.8 
0.039446  -1.404   45.139056  1.655  2.42e-26   28.9 
0.041097  -1.386   44.739794  1.651  2.39e-26   29 
0.042823  -1.368   44.327307  1.647  2.35e-26   29.2 
0.044622  -1.350   43.903614  1.643  2.32e-26   29.4 
0.046482  -1.333   43.467691  1.638  2.28e-26   29.5 
0.048430  -1.315   43.032941  1.634  2.24e-26   29.7 
0.050468  -1.297   42.583290  1.629  2.2e-26   29.9 
