# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
0.003258 8.342e-24 1.243e-25 1.584e+41 2.393e+39 10.72 0.7293
0.003415 7.958e-24 1.243e-25 1.741e+41 2.756e+39 10.72 0.7291
0.00358 7.592e-24 1.243e-25 1.913e+41 3.174e+39 10.71 0.729
0.003752 7.243e-24 1.243e-25 2.102e+41 3.655e+39 10.7 0.7288
0.003933 6.91e-24 1.243e-25 2.309e+41 4.209e+39 10.69 0.7286
0.004123 6.592e-24 1.243e-25 2.537e+41 4.847e+39 10.68 0.7284
0.004321 6.289e-24 1.243e-25 2.788e+41 5.582e+39 10.67 0.7282
0.00453 6e-24 1.243e-25 3.063e+41 6.429e+39 10.66 0.728
0.004748 5.724e-24 1.243e-25 3.365e+41 7.404e+39 10.65 0.7278
0.004977 5.461e-24 1.242e-25 3.697e+41 8.526e+39 10.63 0.7275
0.005217 5.209e-24 1.242e-25 4.062e+41 9.819e+39 10.62 0.7273
0.005468 4.97e-24 1.242e-25 4.463e+41 1.131e+40 10.61 0.727
0.005732 4.741e-24 1.242e-25 4.904e+41 1.302e+40 10.6 0.7267
0.006008 4.523e-24 1.242e-25 5.388e+41 1.5e+40 10.58 0.7264
0.006298 4.315e-24 1.241e-25 5.92e+41 1.727e+40 10.57 0.7261
0.006601 4.117e-24 1.241e-25 6.505e+41 1.989e+40 10.55 0.7258
0.006919 3.928e-24 1.241e-25 7.147e+41 2.29e+40 10.54 0.7255
0.007253 3.747e-24 1.241e-25 7.852e+41 2.637e+40 10.52 0.7251
0.007602 3.575e-24 1.24e-25 8.628e+41 3.037e+40 10.5 0.7248
0.007969 3.41e-24 1.24e-25 9.479e+41 3.498e+40 10.49 0.7244
0.008353 3.253e-24 1.239e-25 1.042e+42 4.028e+40 10.47 0.724
0.008756 3.104e-24 1.239e-25 1.144e+42 4.638e+40 10.45 0.7236
0.009178 2.961e-24 1.239e-25 1.257e+42 5.34e+40 10.43 0.7231
0.00962 2.825e-24 1.238e-25 1.381e+42 6.149e+40 10.41 0.7227
0.01008 2.695e-24 1.237e-25 1.518e+42 7.08e+40 10.39 0.7222
0.01057 2.571e-24 1.237e-25 1.668e+42 8.152e+40 10.37 0.7217
0.01108 2.453e-24 1.236e-25 1.832e+42 9.386e+40 10.34 0.7212
0.01161 2.34e-24 1.235e-25 2.013e+42 1.081e+41 10.32 0.7206
0.01217 2.232e-24 1.234e-25 2.212e+42 1.244e+41 10.3 0.7201
0.01276 2.13e-24 1.233e-25 2.43e+42 1.432e+41 10.27 0.7195
0.01338 2.032e-24 1.232e-25 2.67e+42 1.649e+41 10.25 0.7188
