#             ra            dec     g_final[0]     g_final[1]        w_final       Sc_final       rg_final        z_final           mask
       6.9716302     -55.971067   -0.098393213    0.078702032      2.1436689  3.5235926e-10      4.1507363          1.002           1110
       6.9755963     -55.940762    -0.69547198    0.059680273      2.6524251  3.5194088e-10      4.5678097              1            111
       6.9753953     -55.920583    -0.24784142    0.091774163      2.2043137   2.221386e-10      4.3881721          0.534          11100
        6.980084     -55.989173    0.065896523   -0.052940779      2.2043137   2.581255e-10      4.2055568          0.612          11100
       6.9748908      -55.92546    -0.13252366     -0.2882569      2.2989011  3.4942444e-10      3.9675486          0.982          11001
       6.9740355     -55.974347    -0.54179718   -0.051001043      2.4848425  3.5913673e-10      4.6358016          1.051          10011
       6.9765132      -55.93328     0.51792191    -0.39287959      2.1658263       3.55e-10      4.0783467           1.02          11001
       6.9742693     -55.959115   0.0090747887    -0.01352398      2.5869817  3.5172886e-10      4.4182516          0.998            111
       6.9801537     -55.978352    -0.39843889    -0.75254402      1.3414956  3.5351419e-10      3.3154095          1.011          11100
       6.9788533      -55.93202     0.35089218    -0.55251525      2.2236662  3.5450813e-10      3.8984721          1.017           1101
       6.9751875     -55.944162    -0.33316654    -0.35907212      2.6588177  3.0091123e-10      4.0880348          0.743          11001
       6.9773955     -55.927095    -0.11605305    -0.18130128      1.6167104  3.5586013e-10       4.111835          1.027           1101
       6.9735823     -55.946145    -0.15861226     0.14477068      1.6740863  3.1763644e-10       3.574361           0.81          11100
       6.9776047     -55.934293    -0.18257298     0.39134697      2.1538099       3.55e-10      4.0207989           1.02           1101
       6.9791622      -55.94469    -0.53241914   -0.073093654      2.2043137  2.4188015e-10      3.8765631          0.574          11100
       6.9692672     -55.937423    -0.76426698    -0.45481922      2.2265217  3.2502864e-10      3.9952859          0.845           1110
       6.9785623     -55.943282    0.058955849   -0.023864624      1.5822658  3.2363533e-10      4.2267848          0.839          11100
       6.9754458     -55.922787      -0.176299     0.22473616      2.1669025  2.9040051e-10      3.5640589          0.706          11100
       6.9728802     -55.956495     0.58025138      0.1501865      1.9249937  2.8981089e-10      3.3499311          0.704          11100
       6.9749665      -55.92382     0.11461814     0.32599063      2.1015294  3.5594747e-10      4.0621674          1.028           1101
       6.9802207     -55.935657     0.38068931     0.65936683      2.2043137  2.6125791e-10      5.0404531           0.62          11100
       6.9747157     -55.950505     0.41784154   -0.017725408       2.616676  3.4735738e-10      4.7091298          0.969          10011
        6.979631     -55.985597   0.0034411137    0.031200807      1.8580317  2.8709453e-10      4.6135049          0.695          11100
       6.9750747     -55.968817     -0.8805199    -0.52274321      2.1838902  3.2480383e-10      4.4760043          0.844          10101
       6.9798575     -55.935618     0.28140026   -0.086933163      2.2043137  2.3382804e-10      4.6099472          0.557          11100
       6.9763963     -55.911992   -0.041041592     0.14764365      1.3928608  3.4763968e-10      3.6227925          0.971          11100
       6.9748555     -55.939298    -0.28137899    -0.31449383      1.8476379  3.2552937e-10      3.7053472          0.848          11100
       6.9710707     -55.950905     0.57409367   -0.099895421      2.2033108  2.7595534e-10      3.5182549          0.661          11100
       6.9686832      -55.96848    -0.14497407     0.79282654      1.9509279  3.0128478e-10      3.7560064          0.744          11100
       6.9801852     -55.955453    -0.29528231    -0.28836875      1.5874791  3.4138749e-10      3.3705541          0.933          11100
       6.9756703        -55.936    0.093181384   -0.024342275      2.0145176  3.5390455e-10      4.3801993          1.013          10101
       6.9786198     -55.981077     0.32088437    -0.32825853      1.9705064  2.9722272e-10      4.1931642           0.73          11100
       6.9774567      -55.97624    -0.12801316    0.034690351      2.1613745       3.55e-10      3.9477863           1.02           1101
       6.9767508     -55.964832    0.011335407   -0.016084236      2.2043137  2.8336498e-10      3.5920076          0.683          11100
        6.972724     -55.913913    0.044215807    -0.21236396      1.8142719  3.1857692e-10      4.1634537          0.815          11100
       6.9757413     -55.962995   -0.063414775    0.037611411      2.5629632  3.1721577e-10      4.1001402          0.809          11001
       6.9806208     -55.915888    -0.72208463    -0.11480489      2.1023122  2.8368836e-10      5.0643381          0.684          11100
       6.9745415     -55.987373    0.084739583   -0.063524695      1.3391057   3.494716e-10      4.1252676          0.983          11100
       6.9723893     -55.964325     0.21446809     0.23102591      2.2043137  2.5163609e-10      3.8799785          0.597          11100
        6.973502      -55.91192    -0.30524672     0.28608633      2.0669686  2.9114646e-10      4.2907821          0.708          11100
